,method,n,p(t),ate_var,ate,r2,r2-adj
55,GRF-Adjusted,1000,0.5,0.43804409396998484,28.811061969613817,0.6550249532506942,0.6546792868711859
56,GRF-Adjusted,1000,0.5,0.452046529744043,29.17724940982719,0.6536212980190188,0.6532742251713424
57,GRF-Adjusted,1000,0.5,0.49510998119007227,29.333177393818353,0.6352161851341035,0.6348506702895484
58,GRF-Adjusted,1000,0.5,0.5128803053961318,31.04852575221679,0.6531834736206268,0.6528359620711484
59,GRF-Adjusted,1000,0.5,0.4471083231712273,29.892242872565568,0.6669448186392317,0.6666110960126177
60,GRF-Adjusted,1000,0.5,0.47573405320621914,28.35727623694472,0.6287622066314095,0.6283902248745271
61,GRF-Adjusted,1000,0.5,0.48132583858659594,29.887051895064637,0.650288645619695,0.6499382334409571
62,GRF-Adjusted,1000,0.5,0.5487733246953369,30.199232666626955,0.6247946513420748,0.6244186940788905
63,GRF-Adjusted,1000,0.5,0.4964305830908051,30.290819411948625,0.6493646651413465,0.6490133271304661
64,GRF-Adjusted,1000,0.5,0.4736490577254729,29.340824729458824,0.6455407852920748,0.6451856157382592
65,GRF-Adjusted,1000,0.5,0.459941595002286,29.234552117809976,0.6505835135039735,0.6502333967840376
66,GRF-Adjusted,1000,0.5,0.5802902232154227,30.792935621706846,0.6208233150354439,0.6204433784773631
67,GRF-Adjusted,1000,0.5,0.4096692446757663,29.02610223737079,0.6732767306884593,0.672949352663097
68,GRF-Adjusted,1000,0.5,0.5213383260644531,30.19877632267235,0.6367314474782892,0.6363674509326762
69,GRF-Adjusted,1000,0.5,0.4557807921173611,29.419568570173098,0.6555013359811546,0.6551561469390514
70,GRF-Adjusted,1000,0.5,0.5127280537681295,29.50893357035995,0.6298661194459335,0.6294952438141158
71,GRF-Adjusted,1000,0.5,0.5548642518559508,29.746004841996157,0.6150684826339566,0.6146827797107441
72,GRF-Adjusted,1000,0.5,0.5065721912235898,30.0144861439577,0.6405369532234768,0.640176769809873
73,GRF-Adjusted,1000,0.5,0.48599135211863914,30.429305571595883,0.6562491640358428,0.6559047243204479
74,GRF-Adjusted,1000,0.5,0.5562044512608676,29.36350321184031,0.6083474504124029,0.6079550129879664
75,GRF-Adjusted,1000,0.5,0.477147756169079,28.460886418180586,0.6297716404460723,0.629400670145918
76,GRF-Adjusted,1000,0.5,0.48077501909097137,29.926129992283208,0.6511428675273342,0.6507933112823716
77,GRF-Adjusted,1000,0.5,0.41595543233110194,29.364998129076298,0.6750314189662383,0.6747057991455632
78,GRF-Adjusted,1000,0.5,0.4743101943236376,29.818523561792468,0.6525801711970617,0.6522320551361369
79,GRF-Adjusted,1000,0.5,0.4339481551163906,29.88972534914415,0.6735106565721688,0.6731835129414796
80,GRF-Adjusted,1000,0.5,0.4777891743934045,29.5540672201015,0.6468622528515132,0.6465084074134886
81,GRF-Adjusted,1000,0.5,0.46009283619950947,29.813788191822802,0.659376217213246,0.6590349108176681
82,GRF-Adjusted,1000,0.5,0.45145356573643997,28.932972163271742,0.6501032714370768,0.6497526735126651
83,GRF-Adjusted,1000,0.5,0.4382262179062703,29.350257813026033,0.6632630053596206,0.6629255935413436
84,GRF-Adjusted,1000,0.5,0.4377268297192185,29.532842207081373,0.6662811467121919,0.665946759083647
85,GRF-Adjusted,1000,0.5,0.49193637576799937,29.527021570647037,0.6397465500861216,0.6393855746854062
86,GRF-Adjusted,1000,0.5,0.48893432999092157,30.05665505058527,0.6492950630334308,0.6489436552809592
87,GRF-Adjusted,1000,0.5,0.5341737406805271,30.38493620046042,0.6339441151034271,0.6335773256396029
88,GRF-Adjusted,1000,0.5,0.4618336678794214,29.844999263051566,0.6589979189385791,0.6586562334866137
89,GRF-Adjusted,1000,0.5,0.5059270269005154,29.64627761742116,0.6351286396225839,0.6347630370570755
90,GRF-Adjusted,1000,0.5,0.47843729292941434,28.918124928106103,0.6365483188413759,0.6361841388001348
91,GRF-Adjusted,1000,0.5,0.5095980760069764,30.354167183326112,0.6443390786950893,0.643982705026447
92,GRF-Adjusted,1000,0.5,0.4276270724763724,29.678054740350973,0.6736117456741745,0.6732847033351707
93,GRF-Adjusted,1000,0.5,0.42686386822639294,28.449876813645766,0.655165777352334,0.6548202520791399
94,GRF-Adjusted,1000,0.5,0.5842466854304147,30.370326068589385,0.6126845518195728,0.6122964601881296
95,GRF-Adjusted,1000,0.5,0.5530317001283905,30.632802245899242,0.6296532369489587,0.6292821480080257
96,GRF-Adjusted,1000,0.5,0.5728847946165249,29.227971585932657,0.5990647452164753,0.5986630064842273
97,GRF-Adjusted,1000,0.5,0.49049038637791725,29.284202458794887,0.6366128104709614,0.6362486950505917
98,GRF-Adjusted,1000,0.5,0.5033026699088613,29.33316844801293,0.6314047856077463,0.6310354517255896
99,GRF-Adjusted,1000,0.5,0.532265041200814,30.779186606668848,0.6407308948389707,0.640370905755643
